"","sample_size","sampling_frame","test_item","response","source"
"1",2,"category",1,0.584645697269001,"model"
"2",2,"category",2,0.601923885291789,"model"
"3",2,"category",3,0.449334534101141,"model"
"4",2,"category",4,0.43673516704072,"model"
"5",2,"category",5,0.433356513934193,"model"
"6",2,"category",6,0.409764028136789,"model"
"7",8,"category",1,0.78436410699684,"model"
"8",8,"category",2,0.790893137220642,"model"
"9",8,"category",3,0.46527772086608,"model"
"10",8,"category",4,0.438225689425158,"model"
"11",8,"category",5,0.433495792866657,"model"
"12",8,"category",6,0.409776929110967,"model"
"13",20,"category",1,0.875745376223952,"model"
"14",20,"category",2,0.877261003229812,"model"
"15",20,"category",3,0.47374309328182,"model"
"16",20,"category",4,0.439016426059276,"model"
"17",20,"category",5,0.433569676382225,"model"
"18",20,"category",6,0.409783772683916,"model"
"19",2,"property",1,0.532773050740239,"model"
"20",2,"property",2,0.547476193158281,"model"
"21",2,"property",3,0.386749390659014,"model"
"22",2,"property",4,0.374688121141399,"model"
"23",2,"property",5,0.372034595373315,"model"
"24",2,"property",6,0.353852451240459,"model"
"25",8,"property",1,0.672388909245645,"model"
"26",8,"property",2,0.674408398928528,"model"
"27",8,"property",3,0.253835250670778,"model"
"28",8,"property",4,0.235257243082572,"model"
"29",8,"property",5,0.233685125625081,"model"
"30",8,"property",6,0.22705750180722,"model"
"31",20,"property",1,0.748183346911894,"model"
"32",20,"property",2,0.745835080954637,"model"
"33",20,"property",3,0.137093237966031,"model"
"34",20,"property",4,0.130298109457911,"model"
"35",20,"property",5,0.130093971385962,"model"
"36",20,"property",6,0.129346052434887,"model"
